=== Trainable / Frozen Parameter Report ===
Total params: 269,178,151
Trainable params: 269,178,151 (100.00%)
Frozen params: 0

=== Top-level module summary ===
- diffusion | trainable 269,178,151 (100.00%) | frozen 0 | (param cnt: tr 212, fr 0)

=== Trainable parameters (count=212) ===
diffusion.unet.down_modules.1.1.conv1.block.1.bias	shape=(1024,)	numel=1,024	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.1.1.cond_encoder.1.weight	shape=(2048, 485)	numel=993,280	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.1.1.cond_encoder.1.bias	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.1.1.conv2.block.0.weight	shape=(1024, 1024, 5)	numel=5,242,880	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.1.1.conv2.block.0.bias	shape=(1024,)	numel=1,024	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.1.1.conv2.block.1.weight	shape=(1024,)	numel=1,024	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.1.1.conv2.block.1.bias	shape=(1024,)	numel=1,024	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.1.2.weight	shape=(1024, 1024, 3)	numel=3,145,728	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.1.2.bias	shape=(1024,)	numel=1,024	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.0.conv1.block.0.weight	shape=(2048, 1024, 5)	numel=10,485,760	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.0.conv1.block.0.bias	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.0.conv1.block.1.weight	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.0.conv1.block.1.bias	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.0.cond_encoder.1.weight	shape=(4096, 485)	numel=1,986,560	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.0.cond_encoder.1.bias	shape=(4096,)	numel=4,096	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.0.conv2.block.0.weight	shape=(2048, 2048, 5)	numel=20,971,520	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.0.conv2.block.0.bias	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.0.conv2.block.1.weight	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.0.conv2.block.1.bias	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.0.residual_conv.weight	shape=(2048, 1024, 1)	numel=2,097,152	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.0.residual_conv.bias	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.1.conv1.block.0.weight	shape=(2048, 2048, 5)	numel=20,971,520	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.1.conv1.block.0.bias	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.1.conv1.block.1.weight	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.1.conv1.block.1.bias	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.1.cond_encoder.1.weight	shape=(4096, 485)	numel=1,986,560	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.1.cond_encoder.1.bias	shape=(4096,)	numel=4,096	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.1.conv2.block.0.weight	shape=(2048, 2048, 5)	numel=20,971,520	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.1.conv2.block.0.bias	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.1.conv2.block.1.weight	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.down_modules.2.1.conv2.block.1.bias	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.mid_modules.0.conv1.block.0.weight	shape=(2048, 2048, 5)	numel=20,971,520	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.mid_modules.0.conv1.block.0.bias	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.mid_modules.0.conv1.block.1.weight	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.mid_modules.0.conv1.block.1.bias	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.mid_modules.0.cond_encoder.1.weight	shape=(4096, 485)	numel=1,986,560	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.mid_modules.0.cond_encoder.1.bias	shape=(4096,)	numel=4,096	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.mid_modules.0.conv2.block.0.weight	shape=(2048, 2048, 5)	numel=20,971,520	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.mid_modules.0.conv2.block.0.bias	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.mid_modules.0.conv2.block.1.weight	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.mid_modules.0.conv2.block.1.bias	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.mid_modules.1.conv1.block.0.weight	shape=(2048, 2048, 5)	numel=20,971,520	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.mid_modules.1.conv1.block.0.bias	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.mid_modules.1.conv1.block.1.weight	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.mid_modules.1.conv1.block.1.bias	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.mid_modules.1.cond_encoder.1.weight	shape=(4096, 485)	numel=1,986,560	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.mid_modules.1.cond_encoder.1.bias	shape=(4096,)	numel=4,096	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.mid_modules.1.conv2.block.0.weight	shape=(2048, 2048, 5)	numel=20,971,520	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.mid_modules.1.conv2.block.0.bias	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.mid_modules.1.conv2.block.1.weight	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.mid_modules.1.conv2.block.1.bias	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.up_modules.0.0.conv1.block.0.weight	shape=(1024, 4096, 5)	numel=20,971,520	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.up_modules.0.0.conv1.block.0.bias	shape=(1024,)	numel=1,024	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.up_modules.0.0.conv1.block.1.weight	shape=(1024,)	numel=1,024	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.up_modules.0.0.conv1.block.1.bias	shape=(1024,)	numel=1,024	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.up_modules.0.0.cond_encoder.1.weight	shape=(2048, 485)	numel=993,280	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.up_modules.0.0.cond_encoder.1.bias	shape=(2048,)	numel=2,048	requires_grad=True	dtype=torch.float32	device=cuda:0
diffusion.unet.up_modules.0.0.conv2.block.0.weight	shape=(1024, 1024, 5)	numel=5,242,880	requires_grad=True	dtype=torch.float32	device=cuda:0
